Id Branch,Agency Name,Date Txs,Corridor,Transaction Id
A16784,GLOBAL SERVICES,7/3/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,7/4/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,7/9/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/6/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/9/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/16/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/24/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,9/3/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,9/5/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,9/10/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/7/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/8/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/14/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/16/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/1/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/4/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/15/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/19/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/21/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,12/6/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,12/10/2024 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,1/16/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,1/31/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,3/12/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,3/14/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,3/19/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,3/21/2025 0:00,BRAZIL,2
A16784,GLOBAL SERVICES,4/3/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,4/4/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,4/5/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,4/7/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,5/10/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,5/20/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,5/23/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,5/24/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,6/16/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,7/8/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,7/15/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,7/25/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,7/30/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/16/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/26/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/28/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,8/29/2025 0:00,BRAZIL,3
A16784,GLOBAL SERVICES,9/8/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,9/20/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,9/23/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/7/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/10/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/18/2025 0:00,BRAZIL,2
A16784,GLOBAL SERVICES,10/22/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,10/31/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/4/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/10/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,11/26/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,12/5/2025 0:00,BRAZIL,1
A16784,GLOBAL SERVICES,12/21/2025 0:00,BRAZIL,2
A16784,GLOBAL SERVICES,1/7/2026 0:00,BRAZIL,1
A18894,ECONOMIC SHOP,5/31/2025 0:00,BRAZIL,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/6/2024 0:00,CHILE,1
A16784,GLOBAL SERVICES,9/17/2025 0:00,CHILE,1
A16784,GLOBAL SERVICES,1/16/2026 0:00,CHILE,2
A18894,ECONOMIC SHOP,9/24/2024 0:00,CHILE,1
A18894,ECONOMIC SHOP,3/28/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,4/27/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,5/12/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,6/23/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,7/7/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,8/15/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,8/24/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,8/30/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,9/2/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,9/13/2025 0:00,CHILE,2
A18894,ECONOMIC SHOP,10/11/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,10/18/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,10/28/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,12/20/2025 0:00,CHILE,1
A18894,ECONOMIC SHOP,1/18/2026 0:00,CHILE,1
A18894,ECONOMIC SHOP,3/5/2026 0:00,CHILE,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/4/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/5/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/11/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/18/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/19/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/20/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/22/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/24/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,1/26/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/1/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/2/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/3/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/8/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/9/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/10/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/12/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/13/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/17/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/18/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/19/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/20/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/23/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,2/24/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/1/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/2/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/4/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/8/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/14/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/15/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/17/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/22/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/23/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/26/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/27/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/30/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,3/31/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/1/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/5/2024 0:00,COLOMBIA,3
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/11/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/14/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/18/2024 0:00,COLOMBIA,1
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/19/2024 0:00,COLOMBIA,2
A07667,LAS TRES FRONTERAS SUPER MERCADO,4/21/2024 0:00,COLOMBIA,1
